日期,操作,价格,买入金额,买入点数,剩余现金,累计持仓,MA250
2021-07-26,买入,2277.87,20000.0,8.780132316594011,80000.0,8.780132316594011,2313.62584
2021-08-20,买入,2314.54,16000.0,6.9128206900723255,64000.0,15.692953006666336,2320.5139599999998
2021-11-02,买入,2368.67,12800.0,5.403876436987845,51200.0,21.09682944365418,2374.1878
2021-11-05,买入,2364.75,10240.0,4.330267470134264,40960.0,25.427096913788443,2376.1381199999996
2022-03-15,买入,2386.03,8192.0,3.4333181058075546,32768.0,28.860415019595997,2458.68396
2022-04-25,买入,2460.89,6553.6,2.663101560817428,26214.4,31.523516580413425,2476.2628000000004
2022-07-15,买入,2451.02,5242.880000000001,2.1390604727827602,20971.52,33.66257705319619,2507.3073200000003
2022-07-21,买入,2481.76,4194.304,1.6900522210044484,16777.216,35.35262927420064,2509.18576
2022-09-07,买入,2520.17,3355.4432,1.3314352603197404,13421.7728,36.68406453452038,2528.9486399999996
2022-09-14,买入,2515.33,2684.35456,1.0671977672909718,10737.41824,37.75126230181135,2530.9626000000003
2022-12-19,买入,2494.25,2147.4836480000004,0.8609736987070263,8589.934592000001,38.61223600051838,2521.8586
2023-01-06,买入,2519.02,1717.9869184000004,0.6820060652158381,6871.9476736000015,39.29424206573422,2520.6725999999994
2023-10-23,买入,2684.6,1374.3895347200005,0.511953190315131,5497.558138880001,39.80619525604935,2692.59808
2023-11-10,买入,2708.11,1099.5116277760003,0.40600700406408907,4398.046511104001,40.212202260113436,2711.22912
2023-11-17,买入,2716.56,879.6093022208003,0.3237952786689049,3518.437208883201,40.53599753878234,2718.35732
2023-11-28,买入,2725.35,703.6874417766403,0.2582007601873669,2814.7497671065607,40.794198298969704,2727.04396
