日期,操作,价格,买入金额,买入点数,买入比例,剩余现金,累计持仓点数,MA250
2021-07-26,买入,2277.87,20000.0,8.780132316594011,20%,80000.0,8.780132316594011,2313.62584
2021-08-20,买入,2314.54,16000.0,6.9128206900723255,20%,64000.0,15.692953006666336,2320.5139599999998
2021-11-02,买入,2368.67,12800.0,5.403876436987845,20%,51200.0,21.09682944365418,2374.1878
2021-11-05,买入,2364.75,10240.0,4.330267470134264,20%,40960.0,25.427096913788443,2376.1381199999996
2022-03-15,买入,2386.03,8192.0,3.4333181058075546,20%,32768.0,28.860415019595997,2458.68396
2022-04-25,买入,2460.89,6553.6,2.663101560817428,20%,26214.4,31.523516580413425,2476.2628000000004
2022-07-15,买入,2451.02,5242.880000000001,2.1390604727827602,20%,20971.52,33.66257705319619,2507.3073200000003
2022-07-21,买入,2481.76,4194.304,1.6900522210044484,20%,16777.216,35.35262927420064,2509.18576
2022-09-07,买入,2520.17,3355.4432,1.3314352603197404,20%,13421.7728,36.68406453452038,2528.9486399999996
2022-09-14,买入,2515.33,2684.35456,1.0671977672909718,20%,10737.41824,37.75126230181135,2530.9626000000003
2022-12-19,买入,2494.25,2147.4836480000004,0.8609736987070263,20%,8589.934592000001,38.61223600051838,2521.8586
2023-01-06,买入,2519.02,1717.9869184000004,0.6820060652158381,20%,6871.9476736000015,39.29424206573422,2520.6725999999994
2023-10-23,买入,2684.6,1374.3895347200005,0.511953190315131,20%,5497.558138880001,39.80619525604935,2692.59808
2023-11-10,买入,2708.11,1099.5116277760003,0.40600700406408907,20%,4398.046511104001,40.212202260113436,2711.22912
2023-11-17,买入,2716.56,879.6093022208003,0.3237952786689049,20%,3518.437208883201,40.53599753878234,2718.35732
2023-11-28,买入,2725.35,703.6874417766403,0.2582007601873669,20%,2814.7497671065607,40.794198298969704,2727.04396
2024-01-08,买入,2733.95,562.9499534213122,0.20591084453677364,20%,2251.7998136852484,41.00010914350648,2748.11344
2024-01-10,买入,2740.24,450.3599627370497,0.16435055423504866,20%,1801.4398509481987,41.16445969774153,2750.2958000000003
2024-01-17,买入,2746.85,360.28797018963974,0.13116404979872937,20%,1441.151880758559,41.295623747540255,2755.04956
2024-02-05,买入,2760.49,288.2303761517118,0.10441275865940897,20%,1152.921504606847,41.40003650619966,2766.4724
2024-09-09,买入,2890.78,230.58430092136942,0.07976542695098535,20%,922.3372036854777,41.47980193315065,2920.11524
2025-09-18,买入,3373.38,184.46744073709556,0.05468326744603204,20%,737.8697629483821,41.53448520059668,3378.4628399999997
2025-12-16,买入,3436.33,147.57395258967642,0.04294522138143788,20%,590.2958103587057,41.577430421978114,3442.29092
2025-12-30,买入,3442.2,118.05916207174114,0.03429758935324535,20%,472.23664828696457,41.61172801133136,3444.4272800000003
2026-01-14,买入,3423.35,94.44732965739291,0.027589153798879145,20%,377.78931862957165,41.63931716513024,3444.903
2026-02-02,买入,3421.42,75.55786372591433,0.02208377332391648,20%,302.2314549036573,41.66140093845415,3450.48852
2026-03-23,买入,3361.77,60.44629098073147,0.017980495685526218,20%,241.78516392292585,41.67938143413968,3473.3432000000003
2026-03-27,买入,3466.61,48.35703278458517,0.013949372091058749,20%,193.4281311383407,41.69333080623074,3475.9757600000003
2026-04-24,买入,3475.81,38.68562622766814,0.011129959988511495,20%,154.74250491067255,41.70446076621925,3484.4858799999997
