日期,操作,价格,买入金额,买入点数,买入比例,剩余现金,累计持仓点数,MA250
2011-01-17,买入,974.98,20000.0,20.51324129725738,20%,80000.0,20.51324129725738,988.06744
2011-01-20,买入,965.78,16000.0,16.566920002485038,20%,64000.0,37.080161299742414,988.01788
2011-05-26,买入,1000.27,12800.0,12.796544932868127,20%,51200.0,49.876706232610545,1006.6039199999999
2013-01-11,买入,802.4,10240.0,12.761714855433699,20%,40960.0,62.63842108804424,806.63252
2013-06-20,买入,791.2,8192.0,10.353892821031344,20%,32768.0,72.99231390907559,802.12976
2014-01-06,买入,824.55,6553.6,7.948092899157117,20%,26214.4,80.94040680823271,829.50536
2014-01-30,买入,824.52,5242.880000000001,6.358705671178384,20%,20971.52,87.2991124794111,830.9134799999999
2014-03-10,买入,815.47,4194.304,5.1434191325248015,20%,16777.216,92.44253161193589,830.76684
2014-03-14,买入,827.16,3355.4432,4.056583006915228,20%,13421.7728,96.49911461885112,830.37948
2014-03-20,买入,820.99,2684.35456,3.269655610908781,20%,10737.41824,99.76877022975991,830.01404
2014-04-28,买入,820.48,2147.4836480000004,2.617350390015601,20%,8589.934592000001,102.38612061977551,831.05164
2014-05-15,买入,825.52,1717.9869184000004,2.0810966644054663,20%,6871.9476736000015,104.46721728418098,831.36884
2014-05-27,买入,827.65,1374.3895347200005,1.6605926837672935,20%,5497.558138880001,106.12780996794827,830.7602800000001
2014-05-29,买入,829.36,1099.5116277760003,1.3257350580881646,20%,4398.046511104001,107.45354502603644,830.54268
2014-06-18,买入,823.23,879.6093022208003,1.0684854806321444,20%,3518.437208883201,108.52203050666859,828.10784
2014-07-09,买入,824.97,703.6874417766403,0.8529854925350501,20%,2814.7497671065607,109.37501599920364,830.1444799999999
2015-08-25,买入,1399.16,562.9499534213122,0.4023485186978703,20%,2251.7998136852484,109.7773645179015,1463.61952
2015-09-15,买入,1490.2,450.3599627370497,0.3022144428513285,20%,1801.4398509481987,110.07957896075283,1496.31588
2015-09-25,买入,1501.56,360.28797018963974,0.2399424399888381,20%,1441.151880758559,110.31952140074166,1515.17308
2016-01-04,买入,1633.64,288.2303761517118,0.17643445076743455,20%,1152.921504606847,110.4959558515091,1674.0561200000002
2016-07-27,买入,1575.64,230.58430092136942,0.14634326427443414,20%,922.3372036854777,110.64229911578353,1578.20072
2018-04-17,买入,2010.54,184.46744073709556,0.0917501968312471,20%,737.8697629483821,110.73404931261477,2019.8616
2018-04-20,买入,2013.16,147.57395258967642,0.07330463181747919,20%,590.2958103587057,110.80735394443225,2022.474
2018-04-26,买入,2018.27,118.05916207174114,0.05849522713598336,20%,472.23664828696457,110.86584917156823,2026.3584799999999
2018-05-30,买入,2041.35,94.44732965739291,0.04626709268738478,20%,377.78931862957165,110.91211626425562,2053.28964
2018-06-15,买入,2059.02,75.55786372591433,0.036696031959822795,20%,302.2314549036573,110.94881229621544,2065.70724
2020-02-03,买入,1927.11,60.44629098073147,0.03136628992674599,20%,241.78516392292585,110.98017858614219,2064.24984
2020-02-26,买入,2069.66,48.35703278458517,0.023364723087166576,20%,193.4281311383407,111.00354330922936,2078.29816
2020-02-28,买入,2016.97,38.68562622766814,0.01918007021803405,20%,154.74250491067255,111.02272337944738,2079.19976
2020-03-09,买入,2057.2,30.94850098213451,0.015043992310973418,20%,123.79400392853805,111.03776737175836,2081.8696
2021-07-26,买入,2277.87,24.75880078570761,0.01086927734493523,20%,99.03520314283044,111.0486366491033,2313.6258399999997
2021-08-20,买入,2314.54,19.80704062856609,0.008557657516640926,20%,79.22816251426435,111.05719430661995,2320.5139599999998
2021-11-02,买入,2368.67,15.845632502852872,0.006689675008698076,20%,63.38253001141148,111.06388398162865,2374.1878
2021-11-05,买入,2364.75,12.676506002282297,0.005360611482094216,20%,50.70602400912919,111.06924459311074,2376.1381199999996
2022-03-15,买入,2386.03,10.141204801825838,0.0042502419507826125,20%,40.56481920730335,111.07349483506152,2458.68396
2022-04-25,买入,2460.89,8.11296384146067,0.003296760050819285,20%,32.45185536584268,111.07679159511234,2476.2628000000004
2022-07-15,买入,2451.02,6.490371073168537,0.0026480286057104945,20%,25.961484292674147,111.07943962371805,2507.3073200000003
2022-07-21,买入,2481.76,5.19229685853483,0.002092183312864592,20%,20.76918743413932,111.08153180703091,2509.18576
2022-09-07,买入,2520.17,4.153837486827864,0.0016482370184661603,20%,16.615349947311454,111.08318004404939,2528.9486399999996
2022-09-14,买入,2515.33,3.323069989462291,0.0013211268459654563,20%,13.292279957849164,111.08450117089535,2530.9626000000003
2022-12-19,买入,2494.25,2.658455991569833,0.0010658338144010557,20%,10.633823966279332,111.08556700470974,2521.8586
2023-01-06,买入,2519.02,2.1267647932558664,0.0008442826151661624,20%,8.507059173023466,111.0864112873249,2520.6726
2023-10-23,买入,2684.6,1.7014118346046931,0.000633767352530989,20%,6.805647338418773,111.08704505467743,2692.59808
2023-11-10,买入,2708.11,1.3611294676837546,0.0005026123265612382,20%,5.444517870735018,111.08754766700399,2711.2291199999995
2023-11-17,买入,2716.56,1.0889035741470037,0.0004008391399958049,20%,4.355614296588014,111.08794850614399,2718.3573199999996
2023-11-28,买入,2725.35,0.8711228593176028,0.000319637059209864,20%,3.484491437270411,111.0882681432032,2727.04396
