日期,持仓市值,现金,持仓点数,累计投入
2021-06-07,100000.0,100000.0,0.0,0.0
2021-06-08,100000.0,100000.0,0.0,0.0
2021-06-09,100000.0,100000.0,0.0,0.0
2021-06-10,100000.0,100000.0,0.0,0.0
2021-06-11,100000.0,100000.0,0.0,0.0
2021-06-15,100000.0,100000.0,0.0,0.0
2021-06-16,100000.0,100000.0,0.0,0.0
2021-06-17,100000.0,100000.0,0.0,0.0
2021-06-18,100000.0,100000.0,0.0,0.0
2021-06-21,100000.0,100000.0,0.0,0.0
2021-06-22,100000.0,100000.0,0.0,0.0
2021-06-23,100000.0,100000.0,0.0,0.0
2021-06-24,100000.0,100000.0,0.0,0.0
2021-06-25,100000.0,100000.0,0.0,0.0
2021-06-28,100000.0,100000.0,0.0,0.0
2021-06-29,100000.0,100000.0,0.0,0.0
2021-06-30,100000.0,100000.0,0.0,0.0
2021-07-01,100000.0,100000.0,0.0,0.0
2021-07-02,100000.0,100000.0,0.0,0.0
2021-07-05,100000.0,100000.0,0.0,0.0
2021-07-06,100000.0,100000.0,0.0,0.0
2021-07-07,100000.0,100000.0,0.0,0.0
2021-07-08,100000.0,100000.0,0.0,0.0
2021-07-09,100000.0,100000.0,0.0,0.0
2021-07-12,100000.0,100000.0,0.0,0.0
2021-07-13,100000.0,100000.0,0.0,0.0
2021-07-14,100000.0,100000.0,0.0,0.0
2021-07-15,100000.0,100000.0,0.0,0.0
2021-07-16,100000.0,100000.0,0.0,0.0
2021-07-19,100000.0,100000.0,0.0,0.0
2021-07-20,100000.0,100000.0,0.0,0.0
2021-07-21,100000.0,100000.0,0.0,0.0
2021-07-22,100000.0,100000.0,0.0,0.0
2021-07-23,100000.0,100000.0,0.0,0.0
2021-07-26,100000.0,80000.0,8.780132316594011,20000.0
2021-07-27,99632.20025725788,80000.0,8.780132316594011,20000.0
2021-07-28,99468.36298823023,80000.0,8.780132316594011,20000.0
2021-07-29,99476.9675179005,80000.0,8.780132316594011,20000.0
2021-07-30,99567.13947679193,80000.0,8.780132316594011,20000.0
2021-08-02,99784.88675824345,80000.0,8.780132316594011,20000.0
2021-08-03,99807.01269168126,80000.0,8.780132316594011,20000.0
2021-08-04,99836.68953891135,80000.0,8.780132316594011,20000.0
2021-08-05,99800.86659905965,80000.0,8.780132316594011,20000.0
2021-08-06,99880.67800181749,80000.0,8.780132316594011,20000.0
2021-08-09,100115.45873996321,80000.0,8.780132316594011,20000.0
2021-08-10,100253.57022130323,80000.0,8.780132316594011,20000.0
2021-08-11,100427.24123852547,80000.0,8.780132316594011,20000.0
2021-08-12,100383.603980912,80000.0,8.780132316594011,20000.0
2021-08-13,100390.62808676527,80000.0,8.780132316594011,20000.0
2021-08-16,100599.50743457704,80000.0,8.780132316594011,20000.0
2021-08-17,100379.56512004636,80000.0,8.780132316594011,20000.0
2021-08-18,100652.53943376927,80000.0,8.780132316594011,20000.0
2021-08-19,100389.22326559461,80000.0,8.780132316594011,20000.0
2021-08-20,100321.9674520495,64000.0,15.692953006666336,36000.0
2021-08-23,100612.28708267282,64000.0,15.692953006666336,36000.0
2021-08-24,100850.97689790421,64000.0,15.692953006666336,36000.0
2021-08-25,101232.47258549629,64000.0,15.692953006666336,36000.0
2021-08-26,101118.69867619795,64000.0,15.692953006666336,36000.0
2021-08-27,101229.80478348515,64000.0,15.692953006666336,36000.0
2021-08-30,101378.41704845827,64000.0,15.692953006666336,36000.0
2021-08-31,101986.51897746659,64000.0,15.692953006666336,36000.0
2021-09-01,102235.09535309218,64000.0,15.692953006666336,36000.0
2021-09-02,103111.86063757465,64000.0,15.692953006666336,36000.0
2021-09-03,103279.30444615576,64000.0,15.692953006666336,36000.0
2021-09-06,103867.31939531557,64000.0,15.692953006666336,36000.0
2021-09-07,104518.89080415235,64000.0,15.692953006666336,36000.0
2021-09-08,105338.6906692206,64000.0,15.692953006666336,36000.0
2021-09-09,105946.16488010864,64000.0,15.692953006666336,36000.0
2021-09-10,105428.76821947886,64000.0,15.692953006666336,36000.0
2021-09-13,106109.99930949823,64000.0,15.692953006666336,36000.0
2021-09-14,105039.42605538346,64000.0,15.692953006666336,36000.0
2021-09-15,105139.23323650587,64000.0,15.692953006666336,36000.0
2021-09-16,104613.51931078255,64000.0,15.692953006666336,36000.0
2021-09-17,104588.88137456207,64000.0,15.692953006666336,36000.0
2021-09-22,105636.07212869692,64000.0,15.692953006666336,36000.0
2021-09-23,106330.4852992419,64000.0,15.692953006666336,36000.0
2021-09-24,105471.13919259686,64000.0,15.692953006666336,36000.0
2021-09-27,104295.42315333741,64000.0,15.692953006666336,36000.0
2021-09-28,105231.03701159486,64000.0,15.692953006666336,36000.0
2021-09-29,104236.88843862255,64000.0,15.692953006666336,36000.0
2021-09-30,104565.96966317235,64000.0,15.692953006666336,36000.0
2021-10-08,104612.10694501194,64000.0,15.692953006666336,36000.0
2021-10-11,104341.08964658683,64000.0,15.692953006666336,36000.0
2021-10-12,103626.1187076031,64000.0,15.692953006666336,36000.0
2021-10-13,102844.92350693126,64000.0,15.692953006666336,36000.0
2021-10-14,102686.73854062405,64000.0,15.692953006666336,36000.0
2021-10-15,102712.31805402492,64000.0,15.692953006666336,36000.0
2021-10-18,103228.77313747432,64000.0,15.692953006666336,36000.0
2021-10-19,103378.17005009777,64000.0,15.692953006666336,36000.0
2021-10-20,103315.71209713124,64000.0,15.692953006666336,36000.0
2021-10-21,103418.97172791511,64000.0,15.692953006666336,36000.0
2021-10-22,102872.07231563277,64000.0,15.692953006666336,36000.0
2021-10-25,103021.31229872617,64000.0,15.692953006666336,36000.0
2021-10-26,102716.86901039685,64000.0,15.692953006666336,36000.0
2021-10-27,102510.03588976899,64000.0,15.692953006666336,36000.0
2021-10-28,101894.40134331747,64000.0,15.692953006666336,36000.0
2021-10-29,101927.6704036916,64000.0,15.692953006666336,36000.0
2021-11-01,102121.47837332393,64000.0,15.692953006666336,36000.0
2021-11-02,101171.42699830035,51200.0,21.09682944365418,48800.0
2021-11-03,101572.26675772978,51200.0,21.09682944365418,48800.0
2021-11-04,101948.21225841569,51200.0,21.09682944365418,48800.0
2021-11-05,101088.72742688122,40960.0,25.427096913788443,59040.0
2021-11-08,101010.6662393559,40960.0,25.427096913788443,59040.0
2021-11-09,101031.77072979434,40960.0,25.427096913788443,59040.0
2021-11-10,100856.57803205833,40960.0,25.427096913788443,59040.0
2021-11-11,101299.77233126567,40960.0,25.427096913788443,59040.0
2021-11-12,101361.05163482789,40960.0,25.427096913788443,59040.0
2021-11-15,101434.53594490874,40960.0,25.427096913788443,59040.0
