日期,持仓市值,现金,持仓点数,持仓状态,年份
2011-04-14,105951.70193328423,105951.70193328423,0.0,0.0,2011
2011-04-15,105951.70193328423,105951.70193328423,0.0,0.0,2011
2011-04-18,105951.70193328423,105951.70193328423,0.0,0.0,2011
2011-04-19,105951.70193328423,105951.70193328423,0.0,0.0,2011
2011-04-20,105951.70193328423,105951.70193328423,0.0,0.0,2011
2011-04-21,105951.70193328423,105951.70193328423,0.0,0.0,2011
2011-04-22,105951.70193328423,105951.70193328423,0.0,0.0,2011
2011-04-25,105951.70193328423,105951.70193328423,0.0,0.0,2011
2011-04-26,105951.70193328423,105951.70193328423,0.0,0.0,2011
2011-04-27,105951.70193328423,105951.70193328423,0.0,0.0,2011
2011-04-28,105951.70193328423,0.0,101.14527830808407,1.0,2011
2011-04-29,107594.3012530075,0.0,101.14527830808407,1.0,2011
2011-05-03,109054.83907177625,0.0,101.14527830808407,1.0,2011
2011-05-04,107238.26987336305,0.0,101.14527830808407,1.0,2011
2011-05-05,107673.19457008781,0.0,101.14527830808407,1.0,2011
2011-05-06,107841.09573207924,0.0,101.14527830808407,1.0,2011
2011-05-09,108246.68829809465,0.0,101.14527830808407,1.0,2011
2011-05-10,108706.89931439643,0.0,101.14527830808407,1.0,2011
2011-05-11,108503.5973049972,0.0,101.14527830808407,1.0,2011
2011-05-12,107301.99139869714,0.0,101.14527830808407,1.0,2011
2011-05-13,107811.76360136991,0.0,101.14527830808407,1.0,2011
2011-05-16,107175.55980081203,0.0,101.14527830808407,1.0,2011
2011-05-17,106737.60074573803,0.0,101.14527830808407,1.0,2011
2011-05-18,107501.24759696407,0.0,101.14527830808407,1.0,2011
2011-05-19,106975.29214976206,0.0,101.14527830808407,1.0,2011
2011-05-20,106786.15047932592,0.0,101.14527830808407,1.0,2011
2011-05-23,103210.66489113515,0.0,101.14527830808407,1.0,2011
2011-05-24,102999.27125947126,0.0,101.14527830808407,1.0,2011
2011-05-25,101857.34106737298,0.0,101.14527830808407,1.0,2011
2011-05-26,101172.58753322726,0.0,101.14527830808407,1.0,2011
2011-05-27,99765.65671196181,0.0,101.14527830808407,1.0,2011
2011-05-30,98999.9869551696,0.0,101.14527830808407,1.0,2011
2011-05-31,100694.17036683002,0.0,101.14527830808407,1.0,2011
2011-06-01,101090.65985779771,0.0,101.14527830808407,1.0,2011
2011-06-02,99289.26245113072,0.0,101.14527830808407,1.0,2011
2011-06-03,100558.63569389719,0.0,101.14527830808407,1.0,2011
2011-06-07,100965.2397126957,0.0,101.14527830808407,1.0,2011
2011-06-08,101050.20174647447,0.0,101.14527830808407,1.0,2011
2011-06-09,98921.0936380893,0.0,101.14527830808407,1.0,2011
2011-06-10,99120.34983635622,0.0,101.14527830808407,1.0,2011
2011-06-13,98726.89470373778,0.0,101.14527830808407,1.0,2011
2011-06-14,99847.58438739135,0.0,101.14527830808407,1.0,2011
2011-06-15,98744.08940105015,0.0,101.14527830808407,1.0,2011
2011-06-16,96828.39782989505,0.0,101.14527830808407,1.0,2011
2011-06-17,95871.56349710056,0.0,101.14527830808407,1.0,2011
2011-06-20,94889.44284472907,0.0,101.14527830808407,1.0,2011
2011-06-21,96125.43814565385,0.0,101.14527830808407,1.0,2011
2011-06-22,95796.71599115258,0.0,101.14527830808407,1.0,2011
2011-06-23,97203.64681241804,0.0,101.14527830808407,1.0,2011
2011-06-24,99372.20157934337,0.0,101.14527830808407,1.0,2011
2011-06-27,99815.21789833278,0.0,101.14527830808407,1.0,2011
2011-06-28,99725.19860063857,0.0,101.14527830808407,1.0,2011
2011-06-29,98536.74158051859,0.0,101.14527830808407,1.0,2011
2011-06-30,99580.560852658,0.0,101.14527830808407,1.0,2011
2011-07-01,99516.83932732392,0.0,101.14527830808407,1.0,2011
2011-07-04,101620.66111613208,0.0,101.14527830808407,1.0,2011
2011-07-05,101699.55443321238,0.0,101.14527830808407,1.0,2011
2011-07-06,101406.23312611894,0.0,101.14527830808407,1.0,2011
2011-07-07,101221.13726681513,101221.13726681513,0.0,0.0,2011
2011-07-08,101221.13726681513,50610.568633407565,50.537289563540426,0.5,2011
2011-07-11,101498.08161362333,101498.08161362333,0.0,0.0,2011
2011-07-12,101498.08161362333,50749.04080681167,51.02559955640739,0.5,2011
2011-07-13,102213.46051940417,102213.46051940417,0.0,0.0,2011
2011-07-14,102213.46051940417,51106.73025970208,50.55217292273963,0.5,2011
2011-07-15,102466.22138401787,51106.73025970208,50.55217292273963,0.5,2011
2011-07-18,102449.53916695336,51106.73025970208,50.55217292273963,0.5,2011
2011-07-19,101823.19774444061,51106.73025970208,50.55217292273963,0.5,2011
2011-07-20,101865.15604796649,51106.73025970208,50.55217292273963,0.5,2011
2011-07-21,101488.03683796285,51106.73025970208,50.55217292273963,0.5,2011
2011-07-22,101601.77922703902,51106.73025970208,50.55217292273963,0.5,2011
2011-07-25,100115.03982138124,25553.36512985104,76.91052203446269,1.0,2011
2011-07-26,100376.5355962984,25553.36512985104,76.91052203446269,1.0,2011
2011-07-27,100998.74171955722,25553.36512985104,76.91052203446269,1.0,2011
2011-07-28,100435.75669826494,25553.36512985104,76.91052203446269,1.0,2011
2011-07-29,100373.45917541704,25553.36512985104,76.91052203446269,1.0,2011
2011-08-01,100429.60385650219,25553.36512985104,76.91052203446269,1.0,2011
2011-08-02,99749.71484171753,25553.36512985104,76.91052203446269,1.0,2011
2011-08-03,99785.86278707373,25553.36512985104,76.91052203446269,1.0,2011
