日期,操作,价格,交易前状态
2011-01-24,买入,967.76,0
2011-02-14,卖出,1049.74,1
2011-04-28,买入,1047.52,0
2011-07-07,卖出,1000.75,1
2011-08-02,买入,964.71,0
2011-11-07,卖出,906.23,1
2011-11-25,买入,868.93,0
2012-02-21,卖出,852.9,1
2012-03-28,买入,827.83,0
2012-04-20,卖出,885.2,1
2012-05-25,买入,855.66,0
2012-10-23,卖出,763.66,1
2012-11-21,买入,728.91,0
2012-12-17,卖出,765.2,1
2013-04-12,买入,817.53,0
2013-05-16,卖出,853.34,1
2013-06-13,买入,815.28,0
2013-09-05,卖出,812.11,1
2013-11-08,买入,831.54,0
2013-11-28,卖出,875.13,1
2013-12-24,买入,847.77,0
2014-02-11,卖出,853.28,1
2014-03-10,买入,815.47,0
2014-04-10,卖出,868.88,1
2014-04-28,买入,820.48,0
2014-07-15,卖出,837.66,1
2015-06-26,买入,1883.94,0
2015-10-20,卖出,1621.59,1
2015-11-27,买入,1632.48,0
2015-12-21,卖出,1793.56,1
2016-01-11,买入,1530.37,0
2016-02-24,卖出,1484.11,1
2016-05-09,买入,1486.48,0
2016-06-07,卖出,1536.66,1
2016-09-02,买入,1629.05,0
2016-10-21,卖出,1651.59,1
2016-12-16,买入,1653.83,0
2017-01-26,卖出,1708.93,1
2017-05-04,买入,1763.72,0
2017-05-26,卖出,1815.88,1
2017-12-08,买入,2077.56,0
2018-01-02,卖出,2167.23,1
2018-02-09,买入,2075.91,0
2018-05-14,卖出,2103.13,1
2018-06-21,买入,1977.93,0
2018-07-25,卖出,1976.61,1
2018-08-15,买入,1838.76,0
2018-09-28,卖出,1908.01,1
2018-12-21,买入,1754.49,0
2019-01-22,卖出,1806.25,1
2019-04-26,买入,2139.59,0
2019-07-04,卖出,2106.62,1
2019-07-19,买入,2041.3,0
2019-08-27,卖出,2043.73,1
2019-09-27,买入,2023.27,0
2019-11-07,卖出,2098.7,1
2020-01-23,买入,2091.68,0
2020-02-21,卖出,2109.4,1
2020-03-20,买入,1903.69,0
2020-04-13,卖出,1952.63,1
2020-09-17,买入,2194.07,0
2020-10-22,卖出,2239.99,1
2020-12-11,买入,2260.07,0
2021-01-14,卖出,2298.65,1
2021-02-04,买入,2227.37,0
2021-02-19,卖出,2373.11,1
2021-06-16,买入,2413.02,0
2021-08-16,卖出,2346.15,1
2021-10-20,买入,2505.31,0
2021-11-25,卖出,2413.39,1
2022-01-28,买入,2491.13,0
2022-04-06,卖出,2670.1,1
2022-04-26,买入,2443.03,0
2022-08-23,卖出,2456.6,1
2022-09-26,买入,2393.62,0
2022-11-17,卖出,2449.28,1
2022-12-23,买入,2453.71,0
2023-01-13,卖出,2527.83,1
2023-05-24,买入,2818.12,0
2023-07-31,卖出,2907.67,1
2023-08-18,买入,2813.24,0
2024-01-05,卖出,2759.57,1
2024-06-17,买入,3060.52,0
2024-09-26,卖出,3147.16,1
2025-01-20,买入,3316.49,0
2025-03-27,卖出,3367.12,1
2025-07-31,买入,3480.77,0
2025-08-21,卖出,3561.28,1
2025-09-12,买入,3466.12,0
2025-10-16,卖出,3489.6,1
2025-12-17,买入,3440.83,0
