日期,操作,价格
2011-01-24,买入,967.76
2011-02-14,卖出,1049.74
2011-04-28,买入,1047.52
2011-07-07,卖出,1000.75
2011-08-02,买入,964.71
2011-11-07,卖出,906.23
2011-11-25,买入,868.93
2012-02-21,卖出,852.9
2012-03-28,买入,827.83
2012-04-20,卖出,885.2
2012-05-25,买入,855.66
2012-10-23,卖出,763.66
2012-11-21,买入,728.91
2012-12-17,卖出,765.2
2013-04-12,买入,817.53
2013-05-16,卖出,853.34
2013-06-13,买入,815.28
2013-09-05,卖出,812.11
2013-11-08,买入,831.54
2013-11-28,卖出,875.13
2013-12-24,买入,847.77
2014-02-11,卖出,853.28
2014-03-10,买入,815.47
2014-04-10,卖出,868.88
2014-04-28,买入,820.48
2014-07-15,卖出,837.66
2015-06-26,买入,1883.94
2015-10-20,卖出,1621.59
2015-11-27,买入,1632.48
2015-12-21,卖出,1793.56
2016-01-11,买入,1530.37
2016-02-24,卖出,1484.11
2016-05-09,买入,1486.48
2016-06-07,卖出,1536.66
2016-09-02,买入,1629.05
2016-10-21,卖出,1651.59
2016-12-16,买入,1653.83
2017-01-26,卖出,1708.93
2017-05-04,买入,1763.72
2017-05-26,卖出,1815.88
2017-12-08,买入,2077.56
2018-01-02,卖出,2167.23
2018-02-09,买入,2075.91
2018-05-14,卖出,2103.13
2018-06-21,买入,1977.93
2018-07-25,卖出,1976.61
2018-08-15,买入,1838.76
2018-09-28,卖出,1908.01
2018-12-21,买入,1754.49
2019-01-22,卖出,1806.25
2019-04-26,买入,2139.59
2019-07-04,卖出,2106.62
2019-07-19,买入,2041.3
2019-08-27,卖出,2043.73
2019-09-27,买入,2023.27
2019-11-07,卖出,2098.7
2020-01-23,买入,2091.68
2020-02-21,卖出,2109.4
2020-03-20,买入,1903.69
2020-04-13,卖出,1952.63
2020-09-17,买入,2194.07
2020-10-22,卖出,2239.99
2020-12-11,买入,2260.07
2021-01-14,卖出,2298.65
2021-02-04,买入,2227.37
2021-02-19,卖出,2373.11
2021-06-16,买入,2413.02
2021-08-16,卖出,2346.15
2021-10-20,买入,2505.31
2021-11-25,卖出,2413.39
2022-01-28,买入,2491.13
2022-04-06,卖出,2670.1
2022-04-26,买入,2443.03
2022-08-23,卖出,2456.6
2022-09-26,买入,2393.62
2022-11-17,卖出,2449.28
2022-12-23,买入,2453.71
2023-01-13,卖出,2527.83
2023-05-24,买入,2818.12
2023-07-31,卖出,2907.67
2023-08-18,买入,2813.24
